Year,Male,Female,difference
1896,22.67,,
1900,20.92,,
1904,21.75,,
1908,23.12,,
1912,24.61,,
1924,26.99,25.00,1.99
1928,27.36,21.50,5.86
1932,26.21,25.50,0.71
1936,26.20,21.28,4.92
1948,28.23,23.84,4.38
1952,26.81,25.33,1.48
1956,26.93,25.20,1.73
1960,26.30,22.48,3.82
1964,25.49,22.94,2.55
1968,25.56,23.72,1.84
1972,26.10,23.02,3.08
1976,25.60,23.87,1.73
1980,25.55,24.32,1.23
1988,25.03,22.72,2.31
1992,25.89,23.21,2.69
1996,25.46,24.44,1.02
2000,26.27,24.93,1.34
2004,26.49,25.66,0.83
2008,26.48,25.36,1.12
2012,27.58,24.39,3.19
2016,27.50,26.42,1.08